id,tanggal,dod,crate,ramprate,maxbss
344,04/05/2024,27.71,0.2,20,549
345,05/05/2024,34.15,0.2,20,532
346,06/05/2024,32.31,0.2,20,600
347,07/05/2024,34.06,0.2,20,600
348,08/05/2024,32.4,0.2,20,600
349,09/05/2024,32.63,0.2,20,600
350,10/05/2024,25.67,0.2,20,600
351,11/05/2024,33.25,0.2,20,600
352,12/05/2024,22.53,0.2,20,600
353,13/05/2024,29.97,0.2,20,383
354,14/05/2024,27.63,0.2,20,531
355,15/05/2024,26.83,0.2,20,492
356,16/05/2024,27.26,0.2,20,600
357,17/05/2024,22.94,0.2,20,272
358,18/05/2024,25.73,0.2,20,565
359,19/05/2024,24.05,0.2,20,268
360,20/05/2024,26.09,0.2,20,600
361,21/05/2024,23.18,0.2,20,600
362,22/05/2024,25.99,0.2,20,600
363,23/05/2024,23.72,0.2,20,600
364,24/05/2024,26.59,0.2,20,600
369,25/05/2024,23.43,0.2,20,600
370,26/05/2024,39.57,0.2,20,600
371,27/05/2024,33.39,0.2,20,381
372,28/05/2024,23.17,0.2,20,600
373,29/05/2024,38.25,0.2,20,600
374,30/05/2024,39.42,0.2,20,600
375,31/05/2024,20.8,0.2,20,600
376,01/06/2024,37.36,0.2,20,600
377,02/06/2024,31.04,0.2,20,600
378,03/06/2024,30.79,0.2,20,600
379,04/06/2024,30.62,0.2,20,600
380,05/06/2024,30.18,0.2,20,600
381,06/06/2024,32.79,0.2,20,545
382,07/06/2024,24.34,0.2,20,459
383,08/06/2024,38.32,0.2,20,459
384,09/06/2024,38.99,0.2,20,600
385,10/06/2024,35.6,0.2,20,600
386,11/06/2024,24.63,0.2,20,490
387,12/06/2024,20.07,0.2,20,593
388,13/06/2024,36.79,0.2,20,454
389,14/06/2024,25.87,0.2,20,358
390,15/06/2024,22,0.2,20,429
391,16/06/2024,21.27,0.2,20,331
392,17/06/2024,37.33,0.2,20,600
393,18/06/2024,26.59,0.2,20,492
394,19/06/2024,28.87,0.2,20,600
395,20/06/2024,21.99,0.2,20,164
396,21/06/2024,27.1,0.2,20,433
397,22/06/2024,24.01,0.2,20,600
398,23/06/2024,21.99,0.2,20,600
399,24/06/2024,31.18,0.2,20,522
400,25/06/2024,27.81,0.2,20,522
401,26/06/2024,35.14,0.2,20,600
402,27/06/2024,29.17,0.2,20,129
403,28/06/2024,23.98,0.2,20,541
404,29/06/2024,32.58,0.2,20,373
405,30/06/2024,34.99,0.2,20,600
406,01/07/2024,32.62,0.2,20,600
408,02/07/2024,20.36,0.2,20,489
409,03/07/2024,34.18,0.2,20,600
410,04/07/2024,20.1,0.2,20,409
411,05/07/2024,34.84,0.2,20,557
412,06/07/2024,24.43,0.2,20,600
413,07/07/2024,30.43,0.2,20,600
414,08/07/2024,26.8,0.2,20,533
415,09/07/2024,26.52,0.2,20,200
416,10/07/2024,23.08,0.2,20,275
417,11/07/2024,24.25,0.2,20,600
419,12/07/2024,24.79,0.2,20,203
420,13/07/2024,27.79,0.2,20,323
421,14/07/2024,35.2,0.2,20,469
422,15/07/2024,34.1,0.2,20,570
423,16/07/2024,29.9,0.2,20,592
424,17/07/2024,33.19,0.2,20,351
